Paragraph,Question,Answer
"I thought this place was totally overrated . Everything we had was good or ok ... .but definitely nothing great . The ambience was nice , but service was n't so great . When you add it all together , it just does n't seem worth it to me ... especially considering the prices .",do you like their service ?,n't so great
"I thought going to Jimmys would give me a real Domincan exprience . Jimmy is Dominican ! Well , this place is so Ghetto its not even funny . If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here . Would NEVER go back there . Too bad Latin Quarters closed . That place was awesome , , , sally !",will you come back later ?,NEVER
"I am reluctant to write because I would not want my jem of a pizza place to become overcrowded . However , it is jus too good to not praise it . By far , the best pizza in Manhattan . The crust is thin , the ingredients are fresh and the staff is friendly . For all you lazy folks that do n't want to come to Alphabet City , I say , good - stay out . less wait time for me !",how do you rate their pizza ?,best pizza in Manhattan
"I am reluctant to write because I would not want my jem of a pizza place to become overcrowded . However , it is jus too good to not praise it . By far , the best pizza in Manhattan . The crust is thin , the ingredients are fresh and the staff is friendly . For all you lazy folks that do n't want to come to Alphabet City , I say , good - stay out . less wait time for me !",how is the crust on the pizza ?,thin
"I am reluctant to write because I would not want my jem of a pizza place to become overcrowded . However , it is jus too good to not praise it . By far , the best pizza in Manhattan . The crust is thin , the ingredients are fresh and the staff is friendly . For all you lazy folks that do n't want to come to Alphabet City , I say , good - stay out . less wait time for me !",is the pizza freshly made ?,the ingredients are fresh
"I am reluctant to write because I would not want my jem of a pizza place to become overcrowded . However , it is jus too good to not praise it . By far , the best pizza in Manhattan . The crust is thin , the ingredients are fresh and the staff is friendly . For all you lazy folks that do n't want to come to Alphabet City , I say , good - stay out . less wait time for me !",how is the staff there ?,friendly
"I visit New Green Bo when I have money or when I am broke . I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab . The food is so cheap and the waiters are nice . Of course , it is crowded but who cares . Authentic Shanghai style and I can not recommend a better Shanghai place in New York .",any recommended dish here ?,"jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab"
"I visit New Green Bo when I have money or when I am broke . I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab . The food is so cheap and the waiters are nice . Of course , it is crowded but who cares . Authentic Shanghai style and I can not recommend a better Shanghai place in New York .",how is the service there ?,nice
"I visit New Green Bo when I have money or when I am broke . I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab . The food is so cheap and the waiters are nice . Of course , it is crowded but who cares . Authentic Shanghai style and I can not recommend a better Shanghai place in New York .",what is the style of their food ?,Authentic Shanghai
"I visit New Green Bo when I have money or when I am broke . I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab . The food is so cheap and the waiters are nice . Of course , it is crowded but who cares . Authentic Shanghai style and I can not recommend a better Shanghai place in New York .",is it the best shanghai style cuisine in new york ?,can not recommend a better Shanghai place
"fresh restaurant was amazing ... ... .. food was delicious and of course fresh . great for a romantic evening , or a fun evening with friends ... I will be going back very soon . keep up the good work . Hats off to the chef .",do you like their food ?,delicious and of course fresh
"We were seated outside and the waiter spilled red wine and hot tea on myself and my date . We were then shooed inside . One would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . We left , never to return . With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .",will you come back again ?,never
"Taking Hot Dogs to the next level At first glance this place seems a bit pricey for a hot dog joint , but at Bark you do n't just get your average hot dog . Here the hot dog is elevated to the level of a real entree with numerous variations available .",how is their hot dog ?,elevated to the level of a real entree with numerous variations available
"I found the food , service and value exceptional everytime I have been there . The food was authentic . I felt as though I were eating in Paris . The service was excellent - friendly and attentive . The prices are wonderfully low . Very good wine choices .",what do you think of the price ?,wonderfully low
"I found the food , service and value exceptional everytime I have been there . The food was authentic . I felt as though I were eating in Paris . The service was excellent - friendly and attentive . The prices are wonderfully low . Very good wine choices .",how is their wine selection ?,Very good
"Big Wong gets big Ups for a fine establishment . They have it all -- great price , food , and service . The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can . The food is prepared quickly and efficiently . And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) . The takeout is great too since they give high quality tupperware as well . This place is always very crowded and popular .",how would you rate their service ?,great
"Big Wong gets big Ups for a fine establishment . They have it all -- great price , food , and service . The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can . The food is prepared quickly and efficiently . And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) . The takeout is great too since they give high quality tupperware as well . This place is always very crowded and popular .",how is the atmosphere ?,noisy
"Big Wong gets big Ups for a fine establishment . They have it all -- great price , food , and service . The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can . The food is prepared quickly and efficiently . And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) . The takeout is great too since they give high quality tupperware as well . This place is always very crowded and popular .",how much for the rice dishes ?,no more than $ 3-6 each
By far the best salad I have had in a fast food restaurant . fine dining restaurant quality . Over 100 different choices to create your own . A must try !,how is their salad ?,By far the best salad I have had in a fast food restaurant
"We have lived in Chelsea for two years and have never noticed this restaurant . The food is authentic Italian - delicious ! Pizza is terrific , as is homemade pasta . Ambience is delightful , service impeccable .",what kinds of style does this restaurant have ?,authentic Italian
"We have lived in Chelsea for two years and have never noticed this restaurant . The food is authentic Italian - delicious ! Pizza is terrific , as is homemade pasta . Ambience is delightful , service impeccable .",how is the homemade pasta ?,terrific
"We have lived in Chelsea for two years and have never noticed this restaurant . The food is authentic Italian - delicious ! Pizza is terrific , as is homemade pasta . Ambience is delightful , service impeccable .",how is the ambiance there ?,delightful
"We have lived in Chelsea for two years and have never noticed this restaurant . The food is authentic Italian - delicious ! Pizza is terrific , as is homemade pasta . Ambience is delightful , service impeccable .",what do you think about their service ?,impeccable
"Good spreads , great beverage selections and bagels really tasty . THE BIG COMPLAINT : NO TOASTING AVAILABLE . I complete the total bagel experience by having it lightly toasted . Murray wo n't do it . Wo n't or Ca n't is not in the service directory . But who says Murray 's is anything about service . So close , but not good enough .",how is their beverage selection ?,great
"Growing up in NY , I have eaten my share of bagels . Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY . The bagels always warm , soft on the inside , crispy on the outside and enormous in size . They have a huge selection of different cream cheeses and all of their salads are great . The lox is always fresh too . Highly recommended to all !",how is their selection of cream cheeses ?,huge
"Growing up in NY , I have eaten my share of bagels . Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY . The bagels always warm , soft on the inside , crispy on the outside and enormous in size . They have a huge selection of different cream cheeses and all of their salads are great . The lox is always fresh too . Highly recommended to all !",how is their salad ?,great
"Growing up in NY , I have eaten my share of bagels . Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY . The bagels always warm , soft on the inside , crispy on the outside and enormous in size . They have a huge selection of different cream cheeses and all of their salads are great . The lox is always fresh too . Highly recommended to all !",is the lox freshly made ?,always fresh
"Growing up in NY , I have eaten my share of bagels . Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY . The bagels always warm , soft on the inside , crispy on the outside and enormous in size . They have a huge selection of different cream cheeses and all of their salads are great . The lox is always fresh too . Highly recommended to all !",do you recommend this place ?,Highly recommended to all
"Great Hot Dogs ! I 've made the trip out here a few times with a friend who lives nearby ( I live on UWS ) . Though it 's been crowded most times I 've gone here , Bark always delivers on their food . The hot dogs are top notch , and they 're Slamwich is amazing ! Going to Bark is always worth the train ride , and will make your tongue and belly very happy ! Only complaint is the pricing -- I believe it would be more reasonable to pay a dollar less on each item listed on the menu . But nonetheless -- great spot , great food .",do you like their hot dog ?,Great
"Great Hot Dogs ! I 've made the trip out here a few times with a friend who lives nearby ( I live on UWS ) . Though it 's been crowded most times I 've gone here , Bark always delivers on their food . The hot dogs are top notch , and they 're Slamwich is amazing ! Going to Bark is always worth the train ride , and will make your tongue and belly very happy ! Only complaint is the pricing -- I believe it would be more reasonable to pay a dollar less on each item listed on the menu . But nonetheless -- great spot , great food .",how is their hot dog ?,top notch
"I 've had the lunch buffet at Chennai a couple of times , when I have been in the neighborhood . It is terrific , as is the value . $ 6 and there is much tasty food , all of it fresh and continually refilled . I am not a vegetarian but , almost all the dishes were great . Frankly , when you compare what you can have here for lunch , versus McDs or so many other sandwich shops in the city , there is no comparison . Go hungry and enjoy .",do they have a lunch buffet ?,lunch buffet
"I 've had the lunch buffet at Chennai a couple of times , when I have been in the neighborhood . It is terrific , as is the value . $ 6 and there is much tasty food , all of it fresh and continually refilled . I am not a vegetarian but , almost all the dishes were great . Frankly , when you compare what you can have here for lunch , versus McDs or so many other sandwich shops in the city , there is no comparison . Go hungry and enjoy .",how is the value of the food there ?,terrific
"I 've had the lunch buffet at Chennai a couple of times , when I have been in the neighborhood . It is terrific , as is the value . $ 6 and there is much tasty food , all of it fresh and continually refilled . I am not a vegetarian but , almost all the dishes were great . Frankly , when you compare what you can have here for lunch , versus McDs or so many other sandwich shops in the city , there is no comparison . Go hungry and enjoy .",how much for their lunch buffet ?,$ 6
"I 've had the lunch buffet at Chennai a couple of times , when I have been in the neighborhood . It is terrific , as is the value . $ 6 and there is much tasty food , all of it fresh and continually refilled . I am not a vegetarian but , almost all the dishes were great . Frankly , when you compare what you can have here for lunch , versus McDs or so many other sandwich shops in the city , there is no comparison . Go hungry and enjoy .",is their food fresh ?,fresh
Faan is sooo good . The best pad thai i 've ever had . The design and atmosphere is just as good . bottles of wine are cheap and good . What more could you want ?,how is their atmosphere ?,just as good
Faan is sooo good . The best pad thai i 've ever had . The design and atmosphere is just as good . bottles of wine are cheap and good . What more could you want ?,how is the wine there ?,cheap and good
Go to Volare for 1st class service and terrific food . The portions are large and the servers always surprise us with a different starter . The wine list is excellent .,how 's their service ?,1st class
Go to Volare for 1st class service and terrific food . The portions are large and the servers always surprise us with a different starter . The wine list is excellent .,do you like their food in general ?,terrific
Go to Volare for 1st class service and terrific food . The portions are large and the servers always surprise us with a different starter . The wine list is excellent .,are their portions large ?,large
Go to Volare for 1st class service and terrific food . The portions are large and the servers always surprise us with a different starter . The wine list is excellent .,do you like their wine selection ?,excellent
"The hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .",do you like their hot dog ?,good
"The hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .",which dish brings you here ?,pork croquette sandwich
"00 One of the best , if not THE best , restaurants in Park Slope ( and NY in general ) Everything on the menu is great . This establishment is the real deal . Wish NY had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .",is it the best restaurant in NY ?,"00 One of the best , if not THE best , restaurants in Park Slope ( and NY in general )"
"You can not go wrong with this place . The food is outstanding and the service is quick , friendly and very professional . Always a nice crowd , but never loud . Go here . Good for dates or with friends .",do you like their food ?,outstanding
"You can not go wrong with this place . The food is outstanding and the service is quick , friendly and very professional . Always a nice crowd , but never loud . Go here . Good for dates or with friends .",how is their service ?,"quick , friendly and very professional"
"Got a date ? Go here ! Every time I have a special occasion with my boyfriend I have a hard time going anywhere else . It is so romantic . Its dark , and cozy.. there is always jazz music playing when we go . Most of the booths allow you to sit next to eachother without looking like 'that ' couple . The food is all shared so we get to order together and eat together . I 've enjoyed 99 % of the dishes we 've ordered with the only exceptions being the occasional too-authentic-for-me dish ( I 'm a daring eater but not THAT daring ) . Once you try it for a special occasion beware.. you ca n't stop ! You 'll be ther for every anniversary , birthday , valentines day ...",is this a good place for dating ?,Go here
Way below average I think the pizza is so overrated and was under cooked . Had no flavor and the staff is rude and not attentive . Would NEVER go back,Then how about their pizza ?,so overrated and was under cooked . Had no flavor
Way below average I think the pizza is so overrated and was under cooked . Had no flavor and the staff is rude and not attentive . Would NEVER go back,how 's the staff,rude and not attentive
"For authentic Thai food , look no further than Toons . Ive been to many Thai restaurants in Manhattan before , and Toons is by far the best Thai food Ive had ( except for my mom 's of course ) . Try the Pad Thai , or sample anything on the appetizer menu ... they 're all delicious .",how is their Pad Thai ?,delicious
"I have been to Casimir over 5 times and I have always had a great time there . The food is great and reasonably priced . I have tried to make reservations , but both times , the hostess did n't have my name . If the weather is nice , try to snag an outside table . The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",how would you rate their food ?,great
SO GOOD I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ... ),do you like this place ?,REALLY LOL LOVE
"I have never eaten in the restaurant , however , upon reading the reviews I got take out last week . IT WAS HORRIBLE . The pizza was delivered cold and the cheese was n't even fully melted ! It looked like shredded cheese partly done - still in strips . I have eaten at many pizza places around NYC and this is hands down the worst .",anything wrong with their pizza ?,delivered cold and the cheese was n't even fully melted ! It looked like shredded cheese partly done - still in strips
"I have never eaten in the restaurant , however , upon reading the reviews I got take out last week . IT WAS HORRIBLE . The pizza was delivered cold and the cheese was n't even fully melted ! It looked like shredded cheese partly done - still in strips . I have eaten at many pizza places around NYC and this is hands down the worst .",how is the pizza there compared to other pizza restaurants ?,the worst
"I think I 've had some the best meals of my life at minnow . The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . The combination of super-fresh ingredients in the dishes are unusual but really delicious . Worth the trip from Manhattan .",how is their seafood ?,amazing
"I think I 've had some the best meals of my life at minnow . The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . The combination of super-fresh ingredients in the dishes are unusual but really delicious . Worth the trip from Manhattan .",how is the wine list ?,good
"I had my eyes on this place , promising myself I will one day 'give it a try . ' And I hate to say this but I doubt I 'll ever go back . The food is very average ... the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here . The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree . I had never had Edamame pureed before but I thought it was innovative and tasty ( could 've used a bit more salt ) . Anyways , if you 're in the neighborhood to eat good food , I would n't waste my time trying to find something , rather go across the street to Tamari . The decor is night tho ... but they REALLY need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",how is their thai fusion ?,a bit too sweet
"I had my eyes on this place , promising myself I will one day 'give it a try . ' And I hate to say this but I doubt I 'll ever go back . The food is very average ... the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here . The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree . I had never had Edamame pureed before but I thought it was innovative and tasty ( could 've used a bit more salt ) . Anyways , if you 're in the neighborhood to eat good food , I would n't waste my time trying to find something , rather go across the street to Tamari . The decor is night tho ... but they REALLY need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",which dish do you like ?,Grilled Chicken special with Edamame Puree
"I went there with my friend last saturday . first it took us a long time to find the place . we were tired and cold when we got to the restaurant , then we sat down to begin ordering appetizers . but when we looked at the menu , there were n't a lot of choices , most of them were dumplings in the appetizer section . then we ordered a dinosaur rolls and white tuna sashimi . those rolls were big , but not good and sashimi was n't fresh . they were dry and disgusting , i did n't even finish my first piece .",do they have dinosaur roll ?,dinosaur rolls
"I went there with my friend last saturday . first it took us a long time to find the place . we were tired and cold when we got to the restaurant , then we sat down to begin ordering appetizers . but when we looked at the menu , there were n't a lot of choices , most of them were dumplings in the appetizer section . then we ordered a dinosaur rolls and white tuna sashimi . those rolls were big , but not good and sashimi was n't fresh . they were dry and disgusting , i did n't even finish my first piece .",do they have tuna ?,white tuna sashimi
"I went there with my friend last saturday . first it took us a long time to find the place . we were tired and cold when we got to the restaurant , then we sat down to begin ordering appetizers . but when we looked at the menu , there were n't a lot of choices , most of them were dumplings in the appetizer section . then we ordered a dinosaur rolls and white tuna sashimi . those rolls were big , but not good and sashimi was n't fresh . they were dry and disgusting , i did n't even finish my first piece .",is the size of the dinosaur rolls large ?,big
"I went there with my friend last saturday . first it took us a long time to find the place . we were tired and cold when we got to the restaurant , then we sat down to begin ordering appetizers . but when we looked at the menu , there were n't a lot of choices , most of them were dumplings in the appetizer section . then we ordered a dinosaur rolls and white tuna sashimi . those rolls were big , but not good and sashimi was n't fresh . they were dry and disgusting , i did n't even finish my first piece .",is the sashimi freshly made ?,n't fresh
"I went to this restaurant with a woman that I met recently . She lives nearby but had never gone to this establishment thinking that it might be too touristy . Surprisingly nothing could be further from the truth . In the evening , this place attracted a well dressed , with it , NY crowd . The food was well prepared and the service impecable . I 'm going back .",how is the food there ?,well prepared
"I went to this restaurant with a woman that I met recently . She lives nearby but had never gone to this establishment thinking that it might be too touristy . Surprisingly nothing could be further from the truth . In the evening , this place attracted a well dressed , with it , NY crowd . The food was well prepared and the service impecable . I 'm going back .",is the service good ?,impecable
"I went to this restaurant with a woman that I met recently . She lives nearby but had never gone to this establishment thinking that it might be too touristy . Surprisingly nothing could be further from the truth . In the evening , this place attracted a well dressed , with it , NY crowd . The food was well prepared and the service impecable . I 'm going back .",will you come back again ?,going
"would NOT go back . Service ok but unfriendly , filthy bathroom . The high prices you 're going to pay is for the view not for the food . The bar drinks were Eh , ok to say the least . The stuff tilapia was horrid ... tasted like cardboard . We thought the dessert would be better , Wrong ! $ 170 down the toilet ... oh speaking of bathroom , the mens bathroom was disgusting . The floor was wet , the trash can filled with hand towels n all over the floor , no soap , and no hand towels left . Go to son cubano in edgewater nj instead .",like their service ?,ok but unfriendly
"I started out with a Bombay beer which was big enough for two . For dinner I had the chicken tikka-masala and some garlic naan . MMmmm ... it was delicious . Service was slow , but the people were friendly . It 's a nice place to relax and have conversation . I ca n't wait to go back .",is Bombay beer good for two people ?,big enough
"I started out with a Bombay beer which was big enough for two . For dinner I had the chicken tikka-masala and some garlic naan . MMmmm ... it was delicious . Service was slow , but the people were friendly . It 's a nice place to relax and have conversation . I ca n't wait to go back .",do they serve chicken masala ?,chicken tikka-masala
"I started out with a Bombay beer which was big enough for two . For dinner I had the chicken tikka-masala and some garlic naan . MMmmm ... it was delicious . Service was slow , but the people were friendly . It 's a nice place to relax and have conversation . I ca n't wait to go back .",does their nann come with garlic ?,garlic
"I started out with a Bombay beer which was big enough for two . For dinner I had the chicken tikka-masala and some garlic naan . MMmmm ... it was delicious . Service was slow , but the people were friendly . It 's a nice place to relax and have conversation . I ca n't wait to go back .",how is the garlic naan ?,delicious
"I started out with a Bombay beer which was big enough for two . For dinner I had the chicken tikka-masala and some garlic naan . MMmmm ... it was delicious . Service was slow , but the people were friendly . It 's a nice place to relax and have conversation . I ca n't wait to go back .",their service ?,"slow , but the people were friendly"
"I started out with a Bombay beer which was big enough for two . For dinner I had the chicken tikka-masala and some garlic naan . MMmmm ... it was delicious . Service was slow , but the people were friendly . It 's a nice place to relax and have conversation . I ca n't wait to go back .",is it a good place for conversation ?,nice
Nice for one time special occasion . Went for Mom 's birthday brunch/lunch . They honored reservation on Sunday afternoon very well . Be aware . We were offered water for the table but were not told the Voss bottles of water were $ 8 a piece . Food was OK . Nice view of river and NYC .,is the water free ?,Voss bottles of water were $ 8 a piece
There are many Thai places in the city but so far Toons is # 1 . Their pad penang is delicious and everything else is fantastic . The price is reasonable although the service is poor .,how is the price ?,reasonable
There are many Thai places in the city but so far Toons is # 1 . Their pad penang is delicious and everything else is fantastic . The price is reasonable although the service is poor .,how is their service ?,poor
"First of all , this place is *not* romantic , as claimed by Citysearch 's editorial review . Either that , or the editor 's idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th . The tables are crammed way too close , the menu is typical of any Italian restaurant , and the wine list is simply overpriced . Slightly above average wines start at $ 70+ with only one selection listed at $ 30+ . Service is not what one would expect from a joint in this price category . For instance , plates were just dumped on the table , I was handed the wine list upside down , etc ... . Somehow working the italian charm with constant mille grazie does not constitute proper service . To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",how is the wine ?,simply overpriced
"First of all , this place is *not* romantic , as claimed by Citysearch 's editorial review . Either that , or the editor 's idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th . The tables are crammed way too close , the menu is typical of any Italian restaurant , and the wine list is simply overpriced . Slightly above average wines start at $ 70+ with only one selection listed at $ 30+ . Service is not what one would expect from a joint in this price category . For instance , plates were just dumped on the table , I was handed the wine list upside down , etc ... . Somehow working the italian charm with constant mille grazie does not constitute proper service . To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",how is the price for wines ?,start at $ 70+ with only one selection listed at $ 30+
"A fairly late entry into the haute barnyard sweepstakes , Flatbush Farm is n't in the same league as the Blue Hills or even the Farm on Adderlys of the world , but it 's pretty good , albeit with a somewhat dismal setting .",how is Flatbush Farm ?,"pretty good , albeit with a somewhat dismal setting"
"I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side . If you are in the area try The Bagel Shoppe on 74th street which is 3 blocks away on 2nd Ave . Great bagels , spreads and a good place to hang out in .",how is their service ?,disappointed
"I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side . If you are in the area try The Bagel Shoppe on 74th street which is 3 blocks away on 2nd Ave . Great bagels , spreads and a good place to hang out in .",are the bagels good there ?,Great
Best drumsticks over rice and sour spicy soup in town ! Beef noodle soup is good as well . The service is good and the resturant is clean . Best Taiwanese food in NY !,do they have soup with beef ?,Beef noodle soup
Best drumsticks over rice and sour spicy soup in town ! Beef noodle soup is good as well . The service is good and the resturant is clean . Best Taiwanese food in NY !,how is the beef noodle soup ?,good
"Raga 's is a romantic , cozy restaurant . The exotic food is beautifully presented and is a delight in delicious combinations . It is also extremely well priced . The staff is incredibly helpful and attentive . The bar is very well stocked with interesting beers and well priced wines . This is one of my favorite restaurants and it is not to be missed . Your friends will thank you for introducing them to this gem !",how is the price ?,extremely well priced
"Raga 's is a romantic , cozy restaurant . The exotic food is beautifully presented and is a delight in delicious combinations . It is also extremely well priced . The staff is incredibly helpful and attentive . The bar is very well stocked with interesting beers and well priced wines . This is one of my favorite restaurants and it is not to be missed . Your friends will thank you for introducing them to this gem !",how is the beer ?,interesting
"Raga 's is a romantic , cozy restaurant . The exotic food is beautifully presented and is a delight in delicious combinations . It is also extremely well priced . The staff is incredibly helpful and attentive . The bar is very well stocked with interesting beers and well priced wines . This is one of my favorite restaurants and it is not to be missed . Your friends will thank you for introducing them to this gem !",how is the price of wine ?,well priced
"I went here with a friend on a whim , we went someplace else first and could n't get a table . Service here was great , food was fantastic . Guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . Will absolutely visit again . Maybe tomorrow ; - )",how is their service ?,great
"I went here with a friend on a whim , we went someplace else first and could n't get a table . Service here was great , food was fantastic . Guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . Will absolutely visit again . Maybe tomorrow ; - )",do you like their food ?,fantastic
"I went here with a friend on a whim , we went someplace else first and could n't get a table . Service here was great , food was fantastic . Guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . Will absolutely visit again . Maybe tomorrow ; - )",what do you think of their Guacamole+shrimp appetizer ?,really great
"I went here with a friend on a whim , we went someplace else first and could n't get a table . Service here was great , food was fantastic . Guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . Will absolutely visit again . Maybe tomorrow ; - )",will you come back again ?,absolutely
"This is a fun restaurant to go to . The pizza is yummy and I like the atmoshpere . But the pizza is way to expensive . A large is $ 20 , and toppings are about $ 3 each .",is the pizza tasty ?,yummy
"This is a fun restaurant to go to . The pizza is yummy and I like the atmoshpere . But the pizza is way to expensive . A large is $ 20 , and toppings are about $ 3 each .",do you like its atmosphere ?,like
"This is a fun restaurant to go to . The pizza is yummy and I like the atmoshpere . But the pizza is way to expensive . A large is $ 20 , and toppings are about $ 3 each .",is the pizza great value there ?,expensive
"This is a fun restaurant to go to . The pizza is yummy and I like the atmoshpere . But the pizza is way to expensive . A large is $ 20 , and toppings are about $ 3 each .",how much for a large pizza ?,$ 20
"This is a fun restaurant to go to . The pizza is yummy and I like the atmoshpere . But the pizza is way to expensive . A large is $ 20 , and toppings are about $ 3 each .",how much for the topping ?,$ 3 each
"Terrible Waste of money.. scammers I agree that dining at Casa La Femme is like no other dining experience ! BUT not in a good way . I am actually offended to have spent so much money on such a bad experience . I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time . We went to celebrate two birthdays and wanted to do something special and different . Our visit their to say the least , was an unpleasant and costly experience ! And even more so unpleasant because it was so costly for such an unpleasant experience . We did arrive late for our reservation so I can not complain too much about the wait for a table . Although we were told 10-15 minutes and it was more like 45 minutes . We were ushered to the bar to wait momentarily and upon arrival were so excited . The place is beautiful ! The hostess was very pleasant . However , our $ 14 drinks were were horrible ! Once we finally got a table , despite indicating we wanted an alla carte menu we were pushed into a table that was only price fixed ! Since we were already waiting so long , we felt we had no other choice but to accept it . Our experience did not ever get any better . For each course we waited over 1/2 hour to 45 minutes and were never offered a drink . We also asked for Hooka six times and the waiter kept telling us one minute and never returning with the Hooka . After the 4th time i asked again and the waiter than said after our dinner . We asked for beverages and never received them . We asked for sides which the waiter than admitted that he forgot to put in that part of our order . My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin . I would not expect this for a $ 55 dinner . By the time we finished our dinner we still had not received one beverage NOR hooka ! What we did do was waste 3 hours being trapped in a table waiting and waiting for food and drinks and hooka.. some of which we never received ! The only beverage we did receive was water in dirty glasses ! To top it all off.. the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant . By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers ! If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible ! I have never left a restaurant feeling as if i was abused , and wasted my hard earned money . MY husbands birthday and my sons was not as it was intended ... and we drove two hours to spend too much money to be treated terribly ! I wish I COULD be refunded !",anything wrong with the chicken ?,inedible as there were so many fatty lumps which i had to keep spitting out into my napkin
"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT . This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater . The chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm . With so many poor experiences to be had in the theater district , is truly an excellent find ! We will return many times for this oasis in mid-town .",do they have pot pie ?,chicken pot pie
"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT . This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater . The chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm . With so many poor experiences to be had in the theater district , is truly an excellent find ! We will return many times for this oasis in mid-town .",how is the chicken pot pie ?,excpetiona
"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT . This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater . The chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm . With so many poor experiences to be had in the theater district , is truly an excellent find ! We will return many times for this oasis in mid-town .",how is the cheeseburger ?,huge and delictable
"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT . This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater . The chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm . With so many poor experiences to be had in the theater district , is truly an excellent find ! We will return many times for this oasis in mid-town .",is their service superb ?,professional wan warm
